SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
541988,AAVAS       ,A ,Q,2232.00,2380.20,2232.00,2360.20,2338.60,2263.80,2336,16471,38235219.00,
541999,GENERAAGRI  ,X ,Q,2.77,2.77,2.70,2.70,2.70,2.52,8,237,643.00,
542011,GRSE        ,A ,Q,197.55,199.50,193.00,193.35,193.90,194.85,185,7759,1518046.00,
542012,AAL         ,M ,Q,69.15,69.95,69.15,69.95,69.95,69.10,4,8000,555700.00,
542019,SHUBHAM     ,M ,Q,58.65,58.65,57.70,57.70,57.70,60.70,18,57000,3291750.00,
542034,SMGOLD      ,M ,Q,18.25,18.25,18.25,18.25,18.25,18.25,16,150000,2737500.00,
542057,BCPL        ,B ,Q,94.00,95.00,90.00,92.65,92.65,94.25,85,5219,483992.00,
542066,ATGL        ,A ,Q,383.00,385.00,375.75,383.05,383.05,382.95,4307,169330,64739083.00,
542123,PHOSPHATE   ,XT,Q,65.00,65.00,62.80,62.80,62.80,66.10,2,51,3312.00,
542131,MAN50ETF    ,B ,Q,154.40,155.95,153.40,153.91,154.30,153.84,479,17170,2642610.00,
542141,TECHNOE     ,A ,Q,274.00,289.95,270.80,282.55,282.55,274.05,340,4873,1366533.00,
542145,RONI        ,M ,Q,60.00,60.00,60.00,60.00,60.00,61.00,1,3000,180000.00,
542158,IPRU3219    ,B ,Q,8.75,8.75,8.75,8.75,8.75,8.75,2,9204,80535.00,
542216,DALBHARAT   ,A ,Q,1349.10,1370.00,1305.60,1363.15,1360.50,1348.30,697,9125,12245996.00,
542231,NILASPACES  ,T ,Q,1.75,1.83,1.75,1.81,1.81,1.75,45,61396,110650.00,
542233,TREJHARA    ,B ,Q,32.55,32.65,31.55,32.65,32.65,31.10,58,7991,258758.00,
542247,AXISCCGPG   ,B ,Q,13.00,13.00,11.81,12.30,12.30,12.05,14,32133,410571.00,
542248,DECCAN      ,M ,Q,23.10,23.95,23.00,23.25,23.95,24.70,5,6000,139380.00,
542285,AXITA       ,M ,Q,44.45,45.40,44.25,44.45,44.45,46.00,6,24000,1074200.00,
542333,RPSGVENT    ,A ,Q,342.75,343.90,332.90,337.20,336.00,337.30,347,4330,1461781.00,
542337,SPENCER     ,A ,Q,78.20,81.45,77.80,80.80,80.30,78.05,514,49970,4003750.00,
542351,GLOSTERLTD  ,X ,Q,503.95,503.95,490.00,490.00,490.00,497.00,32,3740,1833213.00,
542367,XELPMOC     ,B ,Q,294.15,303.75,292.65,303.75,303.75,289.30,688,17836,5379814.00,
542383,RITCO       ,M ,Q,18.40,18.40,18.40,18.40,18.40,18.25,1,1600,29440.00,
542399,CHALET      ,A ,Q,166.00,173.90,166.00,170.40,171.50,174.50,842,35038,5986840.00,
542460,ANUP        ,B ,Q,629.00,654.55,607.65,614.95,614.95,630.90,937,11801,7481004.00,
542484,ARVINDFASN  ,A ,Q,141.50,146.00,141.50,144.30,144.30,142.20,1067,41425,5971843.00,
542579,AGOL        ,M ,Q,51.05,55.00,51.05,53.40,53.05,51.05,21,118000,6177800.00,
542597,MSTC        ,A ,Q,358.00,371.85,333.00,343.45,342.80,353.25,6805,124744,43204826.00,
542602,EMBASSY     ,IF,Q,351.00,352.86,346.00,347.71,347.86,349.67,51,10200,3552696.00,
542627,CHANDNIMACH ,X ,Q,8.09,8.09,8.09,8.09,8.09,7.71,6,686,5549.00,
